iter	Passed	Remaining
0	56	56859
1	57	28578
2	57	19151
3	57	14432
4	58	11611
5	58	9732
6	59	8387
7	59	7367
8	59	6577
9	59	5939
10	60	5430
11	60	5000
12	61	4642
13	61	4326
14	61	4052
15	61	3811
16	62	3600
17	62	3412
18	62	3243
19	63	3091
20	63	2953
21	63	2830
22	64	2721
23	64	2617
24	64	2521
25	64	2433
26	65	2351
27	65	2278
28	66	2210
29	66	2142
30	66	2080
31	66	2022
32	67	1970
33	67	1917
34	67	1868
35	68	1822
36	68	1779
37	68	1737
38	68	1697
39	69	1660
40	69	1623
41	69	1589
42	70	1558
43	70	1528
44	70	1499
45	70	1471
46	71	1445
47	71	1420
48	71	1397
49	72	1373
50	72	1349
51	72	1327
52	73	1305
53	73	1284
54	73	1264
55	73	1245
56	74	1226
57	74	1208
58	74	1192
59	75	1176
60	75	1161
61	75	1146
62	76	1130
63	76	1116
64	76	1102
65	76	1089
66	77	1076
67	77	1064
68	77	1051
69	78	1038
70	78	1026
71	78	1014
72	78	1002
73	79	991
74	79	981
75	79	970
76	80	960
77	80	950
78	80	942
79	81	932
80	81	922
81	81	913
82	81	902
83	81	893
84	82	886
85	82	877
86	82	869
87	83	861
88	83	853
89	83	845
90	83	838
91	84	832
92	84	824
93	84	817
94	85	811
95	85	804
96	85	798
97	86	791
98	86	785
99	86	778
100	86	772
101	87	766
102	87	761
103	87	755
104	88	750
105	88	745
106	88	740
107	88	734
108	89	729
109	89	723
110	89	719
111	90	714
112	90	709
113	90	705
114	91	701
115	91	696
116	91	691
117	91	686
118	92	682
119	92	678
120	92	674
121	92	669
122	93	664
123	93	660
124	93	656
125	94	653
126	94	649
127	94	646
128	95	643
129	95	639
130	95	635
131	96	632
132	96	629
133	96	626
134	97	622
135	97	620
136	97	617
137	98	614
138	99	615
139	99	611
140	99	608
141	100	605
142	100	601
143	100	598
144	100	595
145	101	592
146	101	589
147	101	586
148	102	582
149	102	580
150	102	577
151	102	574
152	103	571
153	103	569
154	103	566
155	104	563
156	104	561
157	104	558
158	105	556
159	105	553
160	105	550
161	105	547
162	106	545
163	106	542
164	106	540
165	107	538
166	107	536
167	107	533
168	108	531
169	108	528
170	108	526
171	108	524
172	109	521
173	109	519
174	109	516
175	110	515
176	110	512
177	110	511
178	111	509
179	111	507
180	111	505
181	112	503
182	112	501
183	112	499
184	113	497
185	113	496
186	113	494
187	114	492
188	114	490
189	114	489
190	115	487
191	115	485
192	115	483
193	115	481
194	116	479
195	116	477
196	116	476
197	117	474
198	117	472
199	117	471
200	118	469
201	118	467
202	118	465
203	118	463
204	119	462
205	119	460
206	119	458
207	119	456
208	120	455
209	120	453
210	120	451
211	121	449
212	121	448
213	121	446
214	121	444
215	122	443
216	122	441
217	122	440
218	122	438
219	123	436
220	123	435
221	123	433
222	124	432
223	124	430
224	124	429
225	124	427
226	125	426
227	125	425
228	125	423
229	126	422
230	126	421
231	126	419
232	127	418
233	127	416
234	127	415
235	127	414
236	128	412
237	128	411
238	128	410
239	129	408
240	129	407
241	129	406
242	130	404
243	130	403
244	130	402
245	130	401
246	131	399
247	131	398
248	131	397
249	132	396
250	132	394
251	132	393
252	132	392
253	133	391
254	133	391
255	134	390
256	134	389
257	134	388
258	135	386
259	135	385
260	135	384
261	136	383
262	136	382
263	136	380
264	136	379
265	137	378
266	137	377
267	137	375
268	138	375
269	138	373
270	138	372
271	138	371
272	139	370
273	139	369
274	139	368
275	140	367
276	140	366
277	140	365
278	140	364
279	141	363
280	141	362
281	141	361
282	142	360
283	142	359
284	142	358
285	143	357
286	143	356
287	143	355
288	144	354
289	144	353
290	144	352
291	144	351
292	145	350
293	145	349
294	145	348
295	146	347
296	146	346
297	146	345
298	147	344
299	147	344
300	147	343
301	148	342
302	148	341
303	148	340
304	148	339
305	149	338
306	149	337
307	149	336
308	149	335
309	150	334
310	150	333
311	150	332
312	151	331
313	151	330
314	151	330
315	152	329
316	152	328
317	152	327
318	152	326
319	153	325
320	153	324
321	153	323
322	154	323
323	154	322
324	154	321
325	155	320
326	155	319
327	155	318
328	155	317
329	156	317
330	156	316
331	156	315
332	156	314
333	157	313
334	157	312
335	157	311
336	158	311
337	158	310
338	158	309
339	159	308
340	159	308
341	159	307
342	160	306
343	160	305
344	160	304
345	160	304
346	161	303
347	161	302
348	161	301
349	162	300
350	162	300
351	162	299
352	162	298
353	163	297
354	163	297
355	163	296
356	164	295
357	164	294
358	164	294
359	164	293
360	165	292
361	165	291
362	165	290
363	166	290
364	166	289
365	166	288
366	167	288
367	167	287
368	167	286
369	168	286
370	168	285
371	168	284
372	169	284
373	169	283
374	169	282
375	169	282
376	170	281
377	170	280
378	170	279
379	171	279
380	171	278
381	171	277
382	171	277
383	172	276
384	172	275
385	173	275
386	173	274
387	173	273
388	174	273
389	174	272
390	174	272
391	175	271
392	175	270
393	175	270
394	176	269
395	176	269
396	176	268
397	177	267
398	177	267
399	177	266
400	177	265
401	178	265
402	178	264
403	178	263
404	179	263
405	179	262
406	179	261
407	180	261
408	180	260
409	180	259
410	180	259
411	181	258
412	181	257
413	181	257
414	181	256
415	182	255
416	182	255
417	182	254
418	182	253
419	183	253
420	183	252
421	183	251
422	184	251
423	184	250
424	184	249
425	184	248
426	184	248
427	185	247
428	185	246
429	185	246
430	186	245
431	186	244
432	186	244
433	186	243
434	187	243
435	187	242
436	187	241
437	187	241
438	188	240
439	188	239
440	188	239
441	189	238
442	189	237
443	189	237
444	189	236
445	190	236
446	190	235
447	190	235
448	191	234
449	191	233
450	191	233
451	191	232
452	192	232
453	192	231
454	192	230
455	192	230
456	193	229
457	193	228
458	193	228
459	194	227
460	194	227
461	194	226
462	194	226
463	195	225
464	195	224
465	195	224
466	195	223
467	196	223
468	196	222
469	196	221
470	196	221
471	197	220
472	197	220
473	197	219
474	198	218
475	198	218
476	198	217
477	198	217
478	199	217
479	200	216
480	200	216
481	200	215
482	201	215
483	201	214
484	201	214
485	201	213
486	202	212
487	202	212
488	203	212
489	203	212
490	203	211
491	204	210
492	204	210
493	204	209
494	205	209
495	205	208
496	205	208
497	205	207
498	206	207
499	206	206
500	206	206
501	207	205
502	207	205
503	207	204
504	208	203
505	208	203
506	208	202
507	208	202
508	209	201
509	209	201
510	209	200
511	210	200
512	210	199
